subject_id	source_language	translation_language	source_value	predicate_id	translation_value	translation_status
HP:0000001	en	en	All	rdfs:label	All	OFFICIAL
GO:0000016	en	en	lactase activity	rdfs:label	lactase activity	OFFICIAL
GO:0003857	en	en	3-hydroxyacyl-CoA dehydrogenase activity	rdfs:label	3-hydroxyacyl-CoA dehydrogenase activity	OFFICIAL
HP:0000002	en	en	Abnormality of body height	rdfs:label	Abnormality of body height	OFFICIAL
HP:0001507	en	en	Growth abnormality	rdfs:label	Growth abnormality	OFFICIAL
HP:0000003	en	en	Multicystic kidney dysplasia	rdfs:label	Multicystic kidney dysplasia	OFFICIAL
HP:0000107	en	en	Renal cyst	rdfs:label	Renal cyst	OFFICIAL
HP:0000005	en	en	Mode of inheritance	rdfs:label	Mode of inheritance	OFFICIAL
HP:0000006	en	en	Autosomal dominant inheritance	rdfs:label	Autosomal dominant inheritance	OFFICIAL
HP:0034345	en	en	Mendelian inheritance	rdfs:label	Mendelian inheritance	OFFICIAL
HP:0000007	en	en	Autosomal recessive inheritance	rdfs:label	Autosomal recessive inheritance	OFFICIAL
HP:0000008	en	en	Abnormal morphology of female internal genitalia	rdfs:label	Abnormal morphology of female internal genitalia	OFFICIAL
HP:0000812	en	en	Abnormal internal genitalia	rdfs:label	Abnormal internal genitalia	OFFICIAL
HP:0010460	en	en	Abnormality of the female genitalia	rdfs:label	Abnormality of the female genitalia	OFFICIAL
HP:0000009	en	en	Functional abnormality of the bladder	rdfs:label	Functional abnormality of the bladder	OFFICIAL
HP:0000014	en	en	Abnormality of the bladder	rdfs:label	Abnormality of the bladder	OFFICIAL
HP:0000010	en	en	Recurrent urinary tract infections	rdfs:label	Recurrent urinary tract infections	OFFICIAL
HP:0002719	en	en	Recurrent infections	rdfs:label	Recurrent infections	OFFICIAL
HP:0011277	en	en	Abnormality of the urinary system physiology	rdfs:label	Abnormality of the urinary system physiology	OFFICIAL
HP:0000011	en	en	Neurogenic bladder	rdfs:label	Neurogenic bladder	OFFICIAL
HP:0000012	en	en	Urinary urgency	rdfs:label	Urinary urgency	OFFICIAL
HP:0000013	en	en	Hypoplasia of the uterus	rdfs:label	Hypoplasia of the uterus	OFFICIAL
HP:0008684	en	en	Aplasia/hypoplasia of the uterus	rdfs:label	Aplasia/hypoplasia of the uterus	OFFICIAL
HP:0010936	en	en	Abnormality of the lower urinary tract	rdfs:label	Abnormality of the lower urinary tract	OFFICIAL
HP:0000015	en	en	Bladder diverticulum	rdfs:label	Bladder diverticulum	OFFICIAL
HP:0025487	en	en	Abnormal bladder morphology	rdfs:label	Abnormal bladder morphology	OFFICIAL
HP:0000016	en	en	Urinary retention	rdfs:label	Urinary retention	OFFICIAL
HP:0000017	en	en	Nocturia	rdfs:label	Nocturia	OFFICIAL
HP:0000019	en	en	Urinary hesitancy	rdfs:label	Urinary hesitancy	OFFICIAL
HP:0000020	en	en	Urinary incontinence	rdfs:label	Urinary incontinence	OFFICIAL
HP:0031064	en	en	Impaired continence	rdfs:label	Impaired continence	OFFICIAL
HP:0000021	en	en	Megacystis	rdfs:label	Megacystis	OFFICIAL
HP:0010955	en	en	Dilatation of the bladder	rdfs:label	Dilatation of the bladder	OFFICIAL
HP:0000022	en	en	Abnormal male internal genitalia morphology	rdfs:label	Abnormal male internal genitalia morphology	OFFICIAL
HP:0010461	en	en	Abnormality of the male genitalia	rdfs:label	Abnormality of the male genitalia	OFFICIAL
HP:0000023	en	en	Inguinal hernia	rdfs:label	Inguinal hernia	OFFICIAL
HP:0004299	en	en	Hernia of the abdominal wall	rdfs:label	Hernia of the abdominal wall	OFFICIAL
HP:0000024	en	en	Prostatitis	rdfs:label	Prostatitis	OFFICIAL
HP:0008775	en	en	Abnormal prostate morphology	rdfs:label	Abnormal prostate morphology	OFFICIAL
HP:0012649	en	en	Increased inflammatory response	rdfs:label	Increased inflammatory response	OFFICIAL
HP:0000025	en	en	Functional abnormality of male internal genitalia	rdfs:label	Functional abnormality of male internal genitalia	OFFICIAL
HP:0012874	en	en	Abnormal male reproductive system physiology	rdfs:label	Abnormal male reproductive system physiology	OFFICIAL
HP:0000026	en	en	Male hypogonadism	rdfs:label	Male hypogonadism	OFFICIAL
HP:0000135	en	en	Hypogonadism	rdfs:label	Hypogonadism	OFFICIAL
HP:0000027	en	en	Azoospermia	rdfs:label	Azoospermia	OFFICIAL
HP:0008669	en	en	Abnormal spermatogenesis	rdfs:label	Abnormal spermatogenesis	OFFICIAL
HP:0000028	en	en	Cryptorchidism	rdfs:label	Cryptorchidism	OFFICIAL
HP:0000035	en	en	Abnormal testis morphology	rdfs:label	Abnormal testis morphology	OFFICIAL
HP:0000029	en	en	Testicular atrophy	rdfs:label	Testicular atrophy	OFFICIAL
HP:0000030	en	en	Testicular gonadoblastoma	rdfs:label	Testicular gonadoblastoma	OFFICIAL
HP:0000150	en	en	Gonadoblastoma	rdfs:label	Gonadoblastoma	OFFICIAL
HP:0010788	en	en	Testicular neoplasm	rdfs:label	Testicular neoplasm	OFFICIAL
HP:0000031	en	en	Epididymitis	rdfs:label	Epididymitis	OFFICIAL
HP:0009714	en	en	Abnormal epididymis morphology	rdfs:label	Abnormal epididymis morphology	OFFICIAL
HP:0000032	en	en	Abnormality of male external genitalia	rdfs:label	Abnormality of male external genitalia	OFFICIAL
HP:0000811	en	en	Abnormal external genitalia	rdfs:label	Abnormal external genitalia	OFFICIAL
HP:0000033	en	en	Ambiguous genitalia, male	rdfs:label	Ambiguous genitalia, male	OFFICIAL
HP:0000062	en	en	Ambiguous genitalia	rdfs:label	Ambiguous genitalia	OFFICIAL
HP:0000034	en	en	Hydrocele testis	rdfs:label	Hydrocele testis	OFFICIAL
HP:0011961	en	en	Non-obstructive azoospermia	rdfs:label	Non-obstructive azoospermia	OFFICIAL
HP:0000036	en	en	Abnormal penis morphology	rdfs:label	Abnormal penis morphology	OFFICIAL
HP:0000037	en	en	Male pseudohermaphroditism	rdfs:label	Male pseudohermaphroditism	OFFICIAL
HP:0000039	en	en	Epispadias	rdfs:label	Epispadias	OFFICIAL
HP:0100627	en	en	Displacement of the urethral meatus	rdfs:label	Displacement of the urethral meatus	OFFICIAL
HP:0000040	en	en	Long penis	rdfs:label	Long penis	OFFICIAL
HP:0000041	en	en	Chordee	rdfs:label	Chordee	OFFICIAL
HP:0000042	en	en	Absent external genitalia	rdfs:label	Absent external genitalia	OFFICIAL
HP:0000044	en	en	Hypogonadotropic hypogonadism	rdfs:label	Hypogonadotropic hypogonadism	OFFICIAL
HP:0000045	en	en	Abnormality of the scrotum	rdfs:label	Abnormality of the scrotum	OFFICIAL
HP:0000046	en	en	Small scrotum	rdfs:label	Small scrotum	OFFICIAL
HP:0000050	en	en	Hypoplastic male external genitalia	rdfs:label	Hypoplastic male external genitalia	OFFICIAL
HP:0000047	en	en	Hypospadias	rdfs:label	Hypospadias	OFFICIAL
HP:0000048	en	en	Bifid scrotum	rdfs:label	Bifid scrotum	OFFICIAL
HP:0000049	en	en	Shawl scrotum	rdfs:label	Shawl scrotum	OFFICIAL
HP:0003241	en	en	External genital hypoplasia	rdfs:label	External genital hypoplasia	OFFICIAL
HP:0000051	en	en	Perineal hypospadias	rdfs:label	Perineal hypospadias	OFFICIAL
HP:0000052	en	en	Urethral atresia, male	rdfs:label	Urethral atresia, male	OFFICIAL
HP:0000068	en	en	Urethral atresia	rdfs:label	Urethral atresia	OFFICIAL
HP:0000053	en	en	Macroorchidism	rdfs:label	Macroorchidism	OFFICIAL
HP:0045058	en	en	Abnormality of the testis size	rdfs:label	Abnormality of the testis size	OFFICIAL
HP:0000054	en	en	Micropenis	rdfs:label	Micropenis	OFFICIAL
HP:0008736	en	en	Hypoplasia of penis	rdfs:label	Hypoplasia of penis	OFFICIAL
HP:0000055	en	en	Abnormality of female external genitalia	rdfs:label	Abnormality of female external genitalia	OFFICIAL
HP:0000056	en	en	Abnormality of the clitoris	rdfs:label	Abnormality of the clitoris	OFFICIAL
HP:0000057	en	en	obsolete Clitoromegaly	rdfs:label	obsolete Clitoromegaly	OFFICIAL
HP:0000058	en	en	Abnormal labia morphology	rdfs:label	Abnormal labia morphology	OFFICIAL
HP:0000059	en	en	Hypoplastic labia majora	rdfs:label	Hypoplastic labia majora	OFFICIAL
HP:0000066	en	en	Labial hypoplasia	rdfs:label	Labial hypoplasia	OFFICIAL
HP:0012881	en	en	Abnormal labia majora morphology	rdfs:label	Abnormal labia majora morphology	OFFICIAL
HP:0000060	en	en	Clitoral hypoplasia	rdfs:label	Clitoral hypoplasia	OFFICIAL
HP:0012815	en	en	Hypoplastic female external genitalia	rdfs:label	Hypoplastic female external genitalia	OFFICIAL
